neighborhood,income,latitude,longitude
Bayview,55935.07960051267,37.733344997012615,-122.39064131286537
Bernal Heights,112654.11344861558,37.742555164290884,-122.41610942159963
Chinatown,22902.315240149073,37.79472958645534,-122.40671227999664
Excelsior,77859.91762315684,37.722000643226096,-122.43148383631032
Haight Ashbury,137397.10099915168,37.76925000722688,-122.44987569873692
Inner Richmond,89707.27563338893,37.78016524930109,-122.4678306296561
Inner Sunset,116354.23979514734,37.763293065841104,-122.46724594338073
Marina,133465.11028844386,37.80197980775032,-122.43690603502664
Mission,95859.86279730247,37.75904723908348,-122.41268130044821
Noe Valley,141319.04570145384,37.74816177836389,-122.43045992899285
Outer Mission,86144.60316123214,37.71132456314765,-122.45355496991095
Outer Richmond,82841.44084979784,37.77800697431421,-122.49192986465786
Pacific Heights,127198.04129563949,37.79176776489015,-122.43076392049512
Portola,81521.79288897893,37.72753860583671,-122.4060517908671
Potrero Hill,157056.35024153438,37.75566389367845,-122.40185308699566
Presidio Heights,130831.3219073152,37.78839441217158,-122.45112271306013
Seacliff,163483.17458563537,37.785860567845305,-122.48858917265193
South of Market,67632.41546080225,37.77722457844525,-122.40955740324868
Visitacion Valley,55268.653276259465,37.713485450826475,-122.40721471826363
Western Addition,68774.68881264805,37.779779172715145,-122.43608611130396
